а,1301
б,1780
в,553
г,1060
д,812
е,108
ё,0
ж,423
з,674
и,368
й,4
к,2445
л,743
м,1367
н,500
о,845
п,1886
р,612
с,1912
т,1062
у,288
ф,204
х,299
ц,245
ч,735
ш,291
щ,162
ъ,0
ы,0
ь,0
э,238
ю,148
я,227
